plant_id,model_code,trim_code,color_code,prod_date,qty
FRE,M3,ST,BK,2025-07-01,36
FRE,M3,ST,WH,2025-07-01,26
FRE,M3,ST,GY,2025-07-01,16
FRE,M3,ST,BL,2025-07-01,7
FRE,M3,PR,BK,2025-07-01,17
FRE,M3,PR,WH,2025-07-01,14
FRE,M3,PR,GY,2025-07-01,12
FRE,M3,PR,BL,2025-07-01,4
FRE,MY,ST,BK,2025-07-01,29
FRE,MY,ST,WH,2025-07-01,16
FRE,MY,ST,GY,2025-07-01,16
FRE,MY,ST,BL,2025-07-01,9
FRE,MY,PR,BK,2025-07-01,8
FRE,MY,PR,WH,2025-07-01,14
FRE,MY,PR,GY,2025-07-01,5
FRE,MY,PR,BL,2025-07-01,3
AUS,M3,ST,BK,2025-07-01,45
AUS,M3,ST,WH,2025-07-01,37
AUS,M3,ST,GY,2025-07-01,17
AUS,M3,ST,BL,2025-07-01,10
AUS,M3,PR,BK,2025-07-01,10
AUS,M3,PR,WH,2025-07-01,13
AUS,M3,PR,GY,2025-07-01,6
AUS,M3,PR,BL,2025-07-01,1
AUS,MY,ST,BK,2025-07-01,26
AUS,MY,ST,WH,2025-07-01,22
AUS,MY,ST,GY,2025-07-01,14
AUS,MY,ST,BL,2025-07-01,7
AUS,MY,PR,BK,2025-07-01,7
AUS,MY,PR,WH,2025-07-01,9
AUS,MY,PR,GY,2025-07-01,3
AUS,MY,PR,BL,2025-07-01,2
BER,M3,ST,BK,2025-07-01,16
BER,M3,ST,WH,2025-07-01,17
BER,M3,ST,GY,2025-07-01,18
BER,M3,ST,BL,2025-07-01,4
BER,M3,PR,BK,2025-07-01,13
BER,M3,PR,WH,2025-07-01,8
BER,M3,PR,GY,2025-07-01,6
BER,M3,PR,BL,2025-07-01,2
BER,MY,ST,BK,2025-07-01,17
BER,MY,ST,WH,2025-07-01,17
BER,MY,ST,GY,2025-07-01,10
BER,MY,ST,BL,2025-07-01,9
BER,MY,PR,BK,2025-07-01,4
BER,MY,PR,WH,2025-07-01,8
BER,MY,PR,GY,2025-07-01,5
BER,MY,PR,BL,2025-07-01,1
SHA,M3,ST,BK,2025-07-01,18
SHA,M3,ST,WH,2025-07-01,18
SHA,M3,ST,GY,2025-07-01,13
SHA,M3,ST,BL,2025-07-01,9
SHA,M3,PR,BK,2025-07-01,9
SHA,M3,PR,WH,2025-07-01,10
SHA,M3,PR,GY,2025-07-01,1
SHA,M3,PR,BL,2025-07-01,2
SHA,MY,ST,BK,2025-07-01,11
SHA,MY,ST,WH,2025-07-01,16
SHA,MY,ST,GY,2025-07-01,2
SHA,MY,ST,BL,2025-07-01,3
SHA,MY,PR,BK,2025-07-01,5
SHA,MY,PR,WH,2025-07-01,4
SHA,MY,PR,GY,2025-07-01,4
SHA,MY,PR,BL,2025-07-01,2
FRE,M3,ST,BK,2025-07-02,31
FRE,M3,ST,WH,2025-07-02,32
FRE,M3,ST,GY,2025-07-02,23
FRE,M3,ST,BL,2025-07-02,12
FRE,M3,PR,BK,2025-07-02,13
FRE,M3,PR,WH,2025-07-02,18
FRE,M3,PR,GY,2025-07-02,4
FRE,M3,PR,BL,2025-07-02,5
FRE,MY,ST,BK,2025-07-02,25
FRE,MY,ST,WH,2025-07-02,24
FRE,MY,ST,GY,2025-07-02,19
FRE,MY,ST,BL,2025-07-02,4
FRE,MY,PR,BK,2025-07-02,6
FRE,MY,PR,WH,2025-07-02,6
FRE,MY,PR,GY,2025-07-02,8
FRE,MY,PR,BL,2025-07-02,5
AUS,M3,ST,BK,2025-07-02,33
AUS,M3,ST,WH,2025-07-02,34
AUS,M3,ST,GY,2025-07-02,25
AUS,M3,ST,BL,2025-07-02,10
AUS,M3,PR,BK,2025-07-02,15
AUS,M3,PR,WH,2025-07-02,11
AUS,M3,PR,GY,2025-07-02,5
AUS,M3,PR,BL,2025-07-02,6
AUS,MY,ST,BK,2025-07-02,22
AUS,MY,ST,WH,2025-07-02,18
AUS,MY,ST,GY,2025-07-02,12
AUS,MY,ST,BL,2025-07-02,4
AUS,MY,PR,BK,2025-07-02,3
AUS,MY,PR,WH,2025-07-02,7
AUS,MY,PR,GY,2025-07-02,8
AUS,MY,PR,BL,2025-07-02,2
BER,M3,ST,BK,2025-07-02,18
BER,M3,ST,WH,2025-07-02,14
BER,M3,ST,GY,2025-07-02,7
BER,M3,ST,BL,2025-07-02,5
BER,M3,PR,BK,2025-07-02,12
BER,M3,PR,WH,2025-07-02,10
BER,M3,PR,GY,2025-07-02,10
BER,M3,PR,BL,2025-07-02,2
BER,MY,ST,BK,2025-07-02,10
BER,MY,ST,WH,2025-07-02,12
BER,MY,ST,GY,2025-07-02,6
BER,MY,ST,BL,2025-07-02,3
BER,MY,PR,BK,2025-07-02,3
BER,MY,PR,WH,2025-07-02,2
BER,MY,PR,GY,2025-07-02,8
SHA,M3,ST,BK,2025-07-02,34
SHA,M3,ST,WH,2025-07-02,35
SHA,M3,ST,GY,2025-07-02,13
SHA,M3,ST,BL,2025-07-02,9
SHA,M3,PR,BK,2025-07-02,13
SHA,M3,PR,WH,2025-07-02,12
SHA,M3,PR,GY,2025-07-02,5
SHA,MY,ST,BK,2025-07-02,11
